symbol,name,sector,industry,market_cap_usd
SARO,StandardAero Inc. Common Stock,Industrials,Aerospace,8890300531.0
SNEX,StoneX Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,8885677732.0
MXL,MaxLinear Inc. Common Stock,Technology,Semiconductors,8879377294.0
W,Wayfair Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,8853005188.0
KRYS,Krystal Biotech Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8827712934.0
LLYVA,Liberty Live Holdings Inc. Series A Liberty Live Group Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,8825984874.0
LGN,Legence Corp. Class A Common stock,Consumer Discretionary,Engineering & Construction,8813734493.0
TTC,Toro Company (The) Common Stock,Consumer Discretionary,Tools/Hardware,8801511043.0
RGTI,Rigetti Computing Inc. Common Stock,Technology,EDP Services,8781976481.0
DDS,Dillard's Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,8773670488.0
CFR,Cullen/Frost Bankers Inc. Common Stock,Finance,Major Banks,8752652550.0
TPGXL,TPG Operating Group II L.P. 6.950% Fixed-Rate Junior Subordinated Notes due 2064,,,8744873827.0
CRUS,Cirrus Logic Inc. Common Stock,Technology,Semiconductors,8730934775.0
PRI,Primerica Inc. Common Stock,Finance,Life Insurance,8723726238.0
AYI,Acuity Inc. Common Stock,Consumer Discretionary,Building Products,8718339165.0
AVAV,AeroVironment Inc. Common Stock,Industrials,Aerospace,8699999600.0
CHWY,Chewy Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,8637713464.0
RYAN,Ryan Specialty Holdings Inc. Class A Common Stock,Finance,Specialty Insurers,8616389682.0
COLB,Columbia Banking System Inc. Common Stock,Finance,Major Banks,8606548581.0
WAL,Western Alliance Bancorporation Common Stock (DE),Finance,Major Banks,8580877442.0
NNN,NNN REIT Inc. Common Stock,Real Estate,Real Estate Investment Trusts,8561167965.0
GAP,Gap Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,8545307067.0
PRMB,Primo Brands Corporation Class A Common Stock,Consumer Staples,Beverages (Production/Distribution),8523782521.0
MSGS,Madison Square Garden Sports Corp. Class A Common Stock (New),Consumer Discretionary,Services-Misc. Amusement & Recreation,8519811984.0
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,8514115477.0
KRMN,Karman Holdings Inc. Common Stock,Industrials,Military/Government/Technical,8494935766.0
ENS,EnerSys Common Stock,Technology,Industrial Machinery/Components,8480887602.0
EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals,8475619035.0
LEVI,Levi Strauss & Co Class A Common Stock,Consumer Discretionary,Apparel,8468809447.0
HSIC,Henry Schein Inc. Common Stock,Health Care,Medical Specialities,8453762537.0
FDS,FactSet Research Systems Inc. Common Stock,Technology,Computer Software: Programming Data Processing,8452021464.0
ENPH,Enphase Energy Inc. Common Stock,Technology,Semiconductors,8439040027.0
ZG,Zillow Group Inc. Class A Common Stock,Consumer Discretionary,Business Services,8438210753.0
ARE,Alexandria Real Estate Equities Inc. Common Stock,Real Estate,Real Estate Investment Trusts,8429414748.0
FR,First Industrial Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,8389056431.0
MTCH,Match Group Inc. Common Stock,Technology,Computer Software: Programming Data Processing,8350941631.0
TKR,Timken Company (The) Common Stock,Industrials,Metal Fabrications,8335866475.0
Z,Zillow Group Inc. Class C Capital Stock,Consumer Discretionary,Business Services,8314657775.0
LUNR,Intuitive Machines Inc. Class A Common Stock,Industrials,Industrial Machinery/Components,8303221509.0
NE,Noble Corporation plc A Ordinary Shares,Energy,Oil & Gas Production,8296389088.0
TEM,Tempus AI Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,8292300940.0
KNTK,Kinetik Holdings Inc. Class A Common Stock,Utilities,Natural Gas Distribution,8204047667.0
MANH,Manhattan Associates Inc. Common Stock,Technology,Computer Software: Prepackaged Software,8202580421.0
ORA,Ormat Technologies Inc. Common Stock,Utilities,Electric Utilities: Central,8201350822.0
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components,8170578187.0
REXR,Rexford Industrial Realty Inc. Common Stock,Real Estate,Real Estate Investment Trusts,8166481545.0
SFM,Sprouts Farmers Market Inc. Common Stock,Consumer Staples,Food Chains,8154581340.0
VIRT,Virtu Financial Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service,8137381099.0
CHRD,Chord Energy Corporation Common Stock,Energy,Oil & Gas Production,8105956368.0
HALO,Halozyme Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),8103640160.0
SM,SM Energy Company Common Stock,Energy,Oil & Gas Production,8096313633.0
PRH,Prudential Financial Inc. 5.950% Junior Subordinated Notes due 2062,Finance,Life Insurance,8074880000.0
NUVL,Nuvalent Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,8067267080.0
CORZ,Core Scientific Inc. Common Stock,Finance,Finance: Consumer Services,8029782476.0
CORZZ,Core Scientific Inc. Tranche 2 Warrants,Finance,Finance: Consumer Services,8026603623.0
YOU,Clear Secure Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,8026495757.0
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains,8016409789.0
OSK,Oshkosh Corporation (Holding Company)Common Stock,Industrials,Auto Manufacturing,8012766720.0
ZWS,Zurn Elkay Water Solutions Corporation Common Stock,Industrials,Industrial Machinery/Components,8009851824.0
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials,7975564805.0
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers,7975393187.0
CMC,Commercial Metals Company Common Stock,Industrials,Steel/Iron Ore,7972802910.0
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks,7944204790.0
FLY,Firefly Aerospace Inc. Common Stock,Industrials,Military/Government/Technical,7931643242.0
PRS,Prudential Financial Inc. 5.625% Junior Subordinated Notes due 2058,Finance,Life Insurance,7927040000.0
RTO,Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),Consumer Discretionary,Other Consumer Services,7903948000.0
AOS,A.O. Smith Corporation Common Stock,Consumer Discretionary,Consumer Electronics/Appliances,7894823583.0
IDA,IDACORP Inc. Common Stock,Utilities,Electric Utilities: Central,7867969370.0
WFRD,Weatherford International plc Ordinary Shares,Consumer Discretionary,Oil and Gas Field Machinery,7824756868.0
MWH,SOLV Energy Inc. Class A Common Stock,Industrials,Military/Government/Technical,7780084289.0
CRL,Charles River Laboratories International Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,7721287119.0
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,7700382209.0
CELH,Celsius Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),7699887643.0
NFG,National Fuel Gas Company Common Stock,Utilities,Oil/Gas Transmission,7690261493.0
KEX,Kirby Corporation Common Stock,Consumer Discretionary,Marine Transportation,7668690000.0
ESE,ESCO Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment,7658678187.0
UGI,UGI Corporation Common Stock,Utilities,Natural Gas Distribution,7643135833.0
CBSH,Commerce Bancshares Inc. Common Stock,Finance,Major Banks,7634349764.0
SSD,Simpson Manufacturing Company Inc. Common Stock,Consumer Discretionary,Industrial Machinery/Components,7611001508.0
ECG,Everus Construction Group Inc. Common Stock,Consumer Discretionary,Homebuilding,7587334732.0
IBRX,ImmunityBio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),7561895714.0
TECH,Bio-Techne Corp Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),7548179486.0
VLY,Valley National Bancorp Common Stock,Finance,Major Banks,7508481527.0
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,Consumer Discretionary,Marine Transportation,7483495282.0
VOYA,Voya Financial Inc. Common Stock,Finance,Life Insurance,7469997693.0
NOV,NOV Inc. Common Stock,Consumer Discretionary,Oil and Gas Field Machinery,7468469269.0
JXN,Jackson Financial Inc. Class A Common Stock ,Finance,Life Insurance,7459024973.0
ATR,AptarGroup Inc. Common Stock,Industrials,Plastic Products,7417835329.0
HQY,HealthEquity Inc. Common Stock,Consumer Discretionary,Business Services,7386301566.0
GJS,Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities Series 2006-2,Finance,Finance: Consumer Services,7316628838.0
