symbol,factor,regime,beta_high,beta_low,diff,t_diff,n_high,n_low
AAL,xl_consumer_defensive,Rates,-0.9487,-1.4205,0.4719,0.7744,162,147
AAL,xl_consumer_defensive,Bull-Bear,-1.0050,-0.9325,-0.0725,-0.2735,2023,531
AAL,xl_financials,VIX,1.9439,0.0115,1.9324,3.9935,377,1284
AAL,xl_financials,Rates,1.4472,1.1722,0.2750,0.3320,162,147
AAL,xl_financials,Bull-Bear,0.6496,0.7747,-0.1251,-0.3432,2023,531
AAL,xl_healthcare,VIX,-2.1933,-0.2288,-1.9646,-4.8336,377,1284
AAL,xl_healthcare,Rates,-1.3229,-1.8870,0.5641,0.8471,162,147
AAL,xl_healthcare,Bull-Bear,-0.8586,-1.2188,0.3602,1.2704,2023,531
AAL,xl_industrials,VIX,2.8396,1.1501,1.6895,3.2509,377,1284
AAL,xl_industrials,Rates,1.0813,0.6216,0.4597,0.4427,162,147
AAL,xl_industrials,Bull-Bear,1.2332,1.8582,-0.6249,-1.6452,2023,531
AAL,xl_real_estate,VIX,-0.4849,-0.3156,-0.1693,-0.5480,361,929
AAL,xl_real_estate,Rates,-0.7171,-0.3510,-0.3661,-0.7593,139,128
AAL,xl_real_estate,Bull-Bear,-0.4376,-0.4414,0.0038,0.0168,1713,483
AAL,xl_utilities,VIX,-0.8281,-0.4907,-0.3374,-1.2945,377,1284
AAL,xl_utilities,Rates,-0.8051,-0.6432,-0.1619,-0.4005,162,147
AAL,xl_utilities,Bull-Bear,-0.7176,-0.6489,-0.0687,-0.3576,2023,531
AAL,china_a_shares,VIX,-0.5834,0.0848,-0.6681,-2.8705,361,929
AAL,china_a_shares,Rates,0.0151,-0.2998,0.3150,0.7694,139,128
AAL,china_a_shares,Bull-Bear,-0.0593,-0.2046,0.1453,0.9510,1713,483
AAL,china_exposure,VIX,-0.3201,0.1936,-0.5137,-2.5929,361,929
AAL,china_exposure,Rates,-0.3583,-0.0730,-0.2853,-0.8512,139,128
AAL,china_exposure,Bull-Bear,-0.0692,-0.1056,0.0364,0.2495,1713,483
AAOI,market_beta,VIX,1.3010,2.2213,-0.9203,-2.8926,377,1263
AAOI,market_beta,Rates,1.8026,1.4534,0.3492,0.8100,156,146
AAOI,market_beta,Bull-Bear,1.9837,1.5413,0.4424,2.2514,2007,531
AAOI,copper,VIX,0.3350,0.0260,0.3089,1.6404,377,1263
AAOI,copper,Rates,-0.0089,0.4767,-0.4855,-1.0704,156,146
AAOI,copper,Bull-Bear,0.0729,-0.0231,0.0960,0.5837,2007,531
AAOI,credit_hy_spread,VIX,-0.8943,-1.3002,0.4059,0.6410,377,1263
AAOI,credit_hy_spread,Rates,-2.0654,-0.0396,-2.0258,-1.0212,156,146
AAOI,credit_hy_spread,Bull-Bear,-1.1703,-0.8007,-0.3696,-0.7084,2007,531
AAOI,energy_oil,VIX,0.1434,-0.0969,0.2403,2.0845,377,1251
AAOI,energy_oil,Rates,-0.0799,0.1052,-0.1851,-0.6127,156,146
AAOI,energy_oil,Bull-Bear,-0.0764,0.1154,-0.1918,-1.9628,1997,531
AAOI,gold,VIX,0.5035,0.2132,0.2903,0.9326,377,1263
AAOI,gold,Rates,-0.2142,1.0053,-1.2195,-1.7046,156,146
AAOI,gold,Bull-Bear,0.3162,-0.1734,0.4896,1.8573,2007,531
AAOI,inflation,VIX,1.0278,-1.2499,2.2777,2.0135,377,1263
AAOI,inflation,Rates,0.1487,1.3931,-1.2445,-0.5898,156,146
AAOI,inflation,Bull-Bear,-0.9623,1.1132,-2.0755,-2.3587,2007,531
AAOI,natural_gas,VIX,0.0914,0.0611,0.0303,0.3131,377,1263
AAOI,natural_gas,Rates,0.0424,0.0461,-0.0037,-0.0166,156,146
AAOI,natural_gas,Bull-Bear,0.0599,-0.0237,0.0836,1.1115,2007,531
AAOI,rates,VIX,1.4695,1.2835,0.1860,0.2702,377,1263
AAOI,rates,Rates,4.7808,1.3307,3.4501,1.2612,156,146
AAOI,rates,Bull-Bear,1.2592,0.9853,0.2739,0.4779,2007,531
AAOI,rates_30y,VIX,0.5732,0.6363,-0.0631,-0.2087,377,1263
AAOI,rates_30y,Rates,1.2670,0.3085,0.9584,0.9515,156,146
AAOI,rates_30y,Bull-Bear,0.3937,0.5938,-0.2001,-0.7912,2007,531
