symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
PFG,74,0.4855,0.5501,0.6291,0.0646,0.0790,0.1256
EMN,74,0.4852,0.5357,0.6046,0.0505,0.0689,0.1139
AMAT,74,0.4839,0.5164,0.7444,0.0325,0.2280,0.3063
GLW,74,0.4836,0.4967,0.5482,0.0130,0.0516,0.0941
KLAC,74,0.4836,0.5212,0.7097,0.0375,0.1885,0.2657
ECL,74,0.4801,0.5061,0.5455,0.0259,0.0395,0.0723
BHF,66,0.4796,0.5373,0.6121,0.0577,0.0748,0.1221
CDNS,74,0.4789,0.5436,0.5939,0.0647,0.0503,0.0848
NVDA,74,0.4785,0.5632,0.6824,0.0846,0.1193,0.1748
L,74,0.4785,0.5604,0.6069,0.0818,0.0465,0.0767
VOYA,74,0.4768,0.5224,0.5989,0.0456,0.0764,0.1276
CBRE,74,0.4761,0.5006,0.5583,0.0245,0.0577,0.1033
ISRG,74,0.4749,0.4990,0.5469,0.0240,0.0479,0.0877
CSCO,74,0.4743,0.4867,0.5170,0.0124,0.0303,0.0586
FTV,74,0.4738,0.5011,0.5535,0.0273,0.0523,0.0946
VRSN,74,0.4730,0.5078,0.5385,0.0349,0.0306,0.0569
IVZ,74,0.4718,0.5161,0.5741,0.0443,0.0580,0.1010
LIN,74,0.4713,0.4815,0.5147,0.0102,0.0332,0.0646
ROP,74,0.4710,0.4831,0.5492,0.0120,0.0662,0.1205
CVX,74,0.4691,0.5235,0.5833,0.0544,0.0598,0.1025
HAL,74,0.4688,0.5225,0.5988,0.0537,0.0763,0.1274
BX,74,0.4683,0.4813,0.5225,0.0129,0.0412,0.0788
EOG,74,0.4679,0.5104,0.5748,0.0425,0.0644,0.1120
COF,74,0.4676,0.5240,0.6271,0.0564,0.1031,0.1643
A,74,0.4674,0.4818,0.5518,0.0144,0.0700,0.1268
DCI,74,0.4674,0.4984,0.5608,0.0310,0.0624,0.1113
AVGO,74,0.4670,0.5009,0.6414,0.0339,0.1405,0.2190
SWKS,74,0.4669,0.4957,0.6629,0.0287,0.1672,0.2522
GPN,74,0.4669,0.4928,0.5314,0.0259,0.0386,0.0727
HQH,74,0.4668,0.4923,0.7175,0.0255,0.2252,0.3139
DOW,46,0.4661,0.5397,0.6088,0.0737,0.0691,0.1134
CDW,74,0.4659,0.4781,0.5178,0.0123,0.0396,0.0765
HD,74,0.4653,0.4726,0.5187,0.0073,0.0461,0.0888
HQL,74,0.4648,0.4942,0.7438,0.0294,0.2496,0.3356
IQV,74,0.4647,0.4793,0.5504,0.0147,0.0710,0.1291
CAT,74,0.4644,0.5102,0.6005,0.0458,0.0903,0.1504
SOR,74,0.4637,0.4739,0.5192,0.0102,0.0453,0.0873
TXT,74,0.4632,0.5141,0.6197,0.0510,0.1055,0.1703
STT,74,0.4628,0.5101,0.5986,0.0473,0.0885,0.1479
EVR,74,0.4622,0.4960,0.5635,0.0338,0.0675,0.1198
LRCX,74,0.4618,0.4943,0.7221,0.0325,0.2278,0.3155
MRSH,74,0.4615,0.4760,0.5292,0.0145,0.0532,0.1005
URI,74,0.4609,0.4980,0.5910,0.0371,0.0930,0.1573
AMG,74,0.4606,0.4989,0.5561,0.0383,0.0572,0.1029
ADSK,74,0.4598,0.5003,0.5385,0.0405,0.0382,0.0710
ETB,74,0.4596,0.4665,0.4920,0.0069,0.0255,0.0518
CFG,74,0.4589,0.5351,0.6599,0.0762,0.1248,0.1891
LECO,74,0.4588,0.4962,0.5691,0.0374,0.0729,0.1281
IEX,74,0.4587,0.4861,0.5507,0.0274,0.0646,0.1172
AMZN,74,0.4582,0.5501,0.5855,0.0919,0.0354,0.0604
USB,74,0.4575,0.5397,0.6397,0.0822,0.1000,0.1563
APAM,74,0.4572,0.4799,0.5181,0.0227,0.0381,0.0736
CSX,74,0.4566,0.4790,0.5397,0.0224,0.0607,0.1125
RF,74,0.4562,0.5335,0.6698,0.0772,0.1364,0.2036
MTDR,74,0.4553,0.4842,0.5644,0.0290,0.0802,0.1420
TFC,74,0.4550,0.5291,0.6531,0.0740,0.1240,0.1898
ENTG,74,0.4550,0.4848,0.6470,0.0298,0.1621,0.2506
EWBC,74,0.4547,0.5232,0.6356,0.0684,0.1124,0.1769
SYK,74,0.4546,0.4718,0.5342,0.0172,0.0624,0.1168
CXT,74,0.4539,0.5016,0.5820,0.0477,0.0804,0.1381
XYL,74,0.4517,0.4800,0.5448,0.0283,0.0647,0.1188
CE,74,0.4515,0.4984,0.5696,0.0469,0.0712,0.1250
FITB,74,0.4507,0.5251,0.6589,0.0744,0.1339,0.2032
OKE,74,0.4494,0.4894,0.5445,0.0400,0.0551,0.1013
SSNC,74,0.4493,0.4654,0.4991,0.0161,0.0336,0.0674
VSH,74,0.4491,0.4683,0.5758,0.0192,0.1074,0.1866
JBL,74,0.4489,0.4612,0.5364,0.0123,0.0752,0.1402
RQI,74,0.4476,0.4697,0.6042,0.0221,0.1345,0.2226
WEX,74,0.4475,0.4740,0.5242,0.0265,0.0502,0.0958
FUL,74,0.4472,0.4898,0.5482,0.0426,0.0584,0.1065
KEY,74,0.4471,0.5284,0.6664,0.0813,0.1380,0.2071
ZTS,74,0.4462,0.4638,0.5396,0.0176,0.0758,0.1405
DTM,18,0.4460,0.4768,0.5334,0.0308,0.0566,0.1061
JEF,74,0.4460,0.4941,0.5592,0.0481,0.0651,0.1165
ROK,74,0.4452,0.4640,0.5392,0.0187,0.0753,0.1396
EFOR,74,0.4449,0.4731,0.5179,0.0282,0.0448,0.0865
FICO,74,0.4448,0.4688,0.4962,0.0240,0.0275,0.0553
SCHW,74,0.4442,0.4846,0.5813,0.0404,0.0967,0.1663
DVN,74,0.4441,0.4882,0.5712,0.0441,0.0830,0.1452
ON,74,0.4434,0.4766,0.6999,0.0332,0.2233,0.3190
CATY,74,0.4432,0.5204,0.6033,0.0772,0.0829,0.1373
HBAN,74,0.4421,0.5219,0.6412,0.0798,0.1193,0.1861
BCAT,28,0.4419,0.4565,0.4811,0.0145,0.0246,0.0511
GAB,74,0.4419,0.4510,0.4891,0.0091,0.0381,0.0780
CRM,74,0.4415,0.5064,0.5466,0.0649,0.0402,0.0736
AJG,74,0.4415,0.4627,0.5117,0.0212,0.0490,0.0957
CBSH,74,0.4409,0.5010,0.5732,0.0600,0.0722,0.1260
WFC,74,0.4409,0.5036,0.6218,0.0628,0.1182,0.1901
ALGM,27,0.4407,0.4783,0.6091,0.0376,0.1309,0.2148
CG,74,0.4402,0.4498,0.4963,0.0096,0.0465,0.0936
NDSN,74,0.4402,0.4514,0.5066,0.0112,0.0552,0.1090
MKSI,74,0.4399,0.4719,0.6782,0.0320,0.2064,0.3043
FBIN,74,0.4397,0.4582,0.5216,0.0185,0.0634,0.1216
VRSK,74,0.4395,0.4496,0.5080,0.0101,0.0584,0.1150
TRU,74,0.4392,0.4548,0.4863,0.0156,0.0315,0.0649
CPRT,74,0.4387,0.4565,0.4847,0.0178,0.0281,0.0581
TDY,74,0.4378,0.4547,0.5407,0.0170,0.0860,0.1590
WH,56,0.4377,0.4657,0.5372,0.0281,0.0714,0.1330
NDAQ,74,0.4376,0.4505,0.4988,0.0128,0.0483,0.0969
BNY,74,0.4373,0.4933,0.5834,0.0560,0.0901,0.1544
NSC,74,0.4372,0.4686,0.5411,0.0314,0.0725,0.1340
ACM,74,0.4368,0.4697,0.5216,0.0329,0.0519,0.0995
EXE,23,0.4365,0.4672,0.5236,0.0308,0.0563,0.1076
ALLY,74,0.4364,0.4806,0.5708,0.0442,0.0903,0.1581
NCZ,74,0.4357,0.4556,0.4888,0.0199,0.0332,0.0680
LPLA,74,0.4353,0.4712,0.5509,0.0359,0.0797,0.1446
BEN,74,0.4351,0.4838,0.5389,0.0487,0.0551,0.1022
DD,74,0.4349,0.4696,0.5348,0.0347,0.0652,0.1219
BRO,74,0.4335,0.4462,0.4971,0.0127,0.0510,0.1026
GXO,18,0.4334,0.4560,0.5139,0.0226,0.0579,0.1127
ZWS,74,0.4330,0.4556,0.5158,0.0226,0.0602,0.1167
PRI,74,0.4327,0.4638,0.5061,0.0311,0.0424,0.0837
ALLE,74,0.4322,0.4582,0.5039,0.0260,0.0457,0.0906
RRX,74,0.4316,0.4629,0.5401,0.0313,0.0772,0.1429
MTX,74,0.4315,0.4798,0.5424,0.0483,0.0626,0.1154
APA,74,0.4314,0.4644,0.5402,0.0330,0.0758,0.1403
KEYS,74,0.4312,0.4483,0.5194,0.0171,0.0711,0.1368
CW,74,0.4312,0.4804,0.6044,0.0492,0.1240,0.2051
SWK,74,0.4309,0.4631,0.5384,0.0322,0.0753,0.1398
BR,74,0.4305,0.4437,0.4878,0.0133,0.0440,0.0903
CNO,74,0.4302,0.4911,0.5527,0.0608,0.0616,0.1115
APD,74,0.4302,0.4486,0.4920,0.0185,0.0434,0.0881
FISV,74,0.4300,0.4435,0.4764,0.0135,0.0329,0.0691
MUR,74,0.4298,0.4666,0.5506,0.0368,0.0841,0.1527
WBS,74,0.4288,0.5038,0.6082,0.0751,0.1044,0.1716
AVY,74,0.4288,0.4548,0.4986,0.0260,0.0438,0.0879
TKR,74,0.4285,0.4673,0.5757,0.0387,0.1084,0.1883
CTSH,74,0.4280,0.4381,0.4647,0.0101,0.0266,0.0572
ENS,74,0.4274,0.4588,0.5336,0.0314,0.0748,0.1402
DIOD,74,0.4271,0.4585,0.6227,0.0314,0.1642,0.2637
ESI,74,0.4264,0.4462,0.5157,0.0199,0.0695,0.1347
IR,68,0.4262,0.4621,0.5279,0.0359,0.0658,0.1247
HWC,74,0.4259,0.4995,0.5941,0.0735,0.0946,0.1593
TER,74,0.4259,0.4592,0.6524,0.0333,0.1932,0.2962
J,74,0.4258,0.4564,0.5176,0.0306,0.0612,0.1183
TDG,74,0.4256,0.4479,0.5762,0.0223,0.1283,0.2227
DHR,74,0.4255,0.4470,0.5534,0.0216,0.1064,0.1922
SLAB,74,0.4250,0.4509,0.6131,0.0260,0.1622,0.2646
HUBB,74,0.4237,0.4554,0.5246,0.0318,0.0691,0.1318
CBT,74,0.4231,0.4666,0.5519,0.0435,0.0853,0.1546
KMI,74,0.4229,0.4730,0.5229,0.0501,0.0499,0.0954
POWI,74,0.4220,0.4530,0.5920,0.0309,0.1390,0.2348
APO,74,0.4215,0.4314,0.4761,0.0099,0.0447,0.0939
KMT,74,0.4213,0.4626,0.5536,0.0413,0.0910,0.1644
WY,74,0.4208,0.4415,0.5043,0.0206,0.0628,0.1246
ABT,74,0.4207,0.4404,0.5582,0.0197,0.1178,0.2110
PYPL,74,0.4207,0.4895,0.5296,0.0688,0.0401,0.0758
UNP,74,0.4205,0.4454,0.5238,0.0249,0.0784,0.1496
TRGP,74,0.4204,0.4544,0.5345,0.0339,0.0802,0.1500
MRVL,74,0.4204,0.4590,0.6152,0.0386,0.1563,0.2540
IDXX,74,0.4203,0.4732,0.5291,0.0529,0.0559,0.1056
LFUS,74,0.4198,0.4410,0.5175,0.0212,0.0766,0.1479
WTS,74,0.4198,0.4489,0.4997,0.0291,0.0509,0.1018
AVT,74,0.4195,0.4501,0.5285,0.0306,0.0783,0.1483
MAS,74,0.4191,0.4341,0.4947,0.0149,0.0606,0.1226
SM,74,0.4190,0.4474,0.5288,0.0284,0.0814,0.1539
FANG,74,0.4188,0.4637,0.5432,0.0449,0.0795,0.1463
CFR,74,0.4184,0.4979,0.5825,0.0795,0.0846,0.1452
RTX,74,0.4183,0.4664,0.6507,0.0481,0.1843,0.2833
SYF,74,0.4179,0.4637,0.5571,0.0458,0.0934,0.1676
VRTS,74,0.4169,0.4468,0.4919,0.0299,0.0452,0.0918
AVNT,74,0.4168,0.4592,0.5361,0.0424,0.0769,0.1434
CARR,34,0.4165,0.4399,0.5040,0.0234,0.0641,0.1271
KYN,74,0.4164,0.4476,0.5134,0.0312,0.0658,0.1282
ONTO,39,0.4163,0.4724,0.6672,0.0560,0.1949,0.2921
FNB,74,0.4159,0.5050,0.6135,0.0891,0.1085,0.1768
NOW,74,0.4157,0.5092,0.5440,0.0935,0.0348,0.0640
ZION,74,0.4156,0.5008,0.6246,0.0852,0.1238,0.1982
WTFC,74,0.4153,0.4954,0.6015,0.0801,0.1062,0.1765
FAST,74,0.4146,0.4258,0.4854,0.0112,0.0596,0.1227
ACV,74,0.4144,0.4381,0.4801,0.0238,0.0420,0.0875
MAR,74,0.4130,0.4472,0.5314,0.0342,0.0842,0.1584
RVTY,74,0.4126,0.4334,0.5159,0.0208,0.0825,0.1599
FLYW,20,0.4126,0.4521,0.5084,0.0396,0.0562,0.1106
QRVO,74,0.4121,0.4372,0.6026,0.0252,0.1653,0.2744
CPAY,74,0.4119,0.4399,0.4832,0.0280,0.0433,0.0896
FR,74,0.4114,0.4259,0.6221,0.0145,0.1962,0.3154
PPG,74,0.4112,0.4509,0.5035,0.0397,0.0526,0.1044
AEIS,74,0.4111,0.4390,0.6104,0.0279,0.1714,0.2809
CGNX,74,0.4105,0.4391,0.5235,0.0285,0.0844,0.1613
FLS,74,0.4105,0.4648,0.5285,0.0542,0.0637,0.1205
TPG,12,0.4091,0.4383,0.4959,0.0292,0.0576,0.1162
NCV,74,0.4087,0.4277,0.4701,0.0190,0.0424,0.0902
PAYC,74,0.4084,0.4647,0.5155,0.0563,0.0508,0.0985
PLD,74,0.4079,0.4193,0.6519,0.0113,0.2326,0.3568
ICE,74,0.4077,0.4191,0.4803,0.0114,0.0612,0.1274
CWK,53,0.4071,0.4477,0.5216,0.0406,0.0738,0.1415
CMI,74,0.4070,0.4534,0.5453,0.0465,0.0919,0.1685
OSK,74,0.4067,0.4537,0.5473,0.0470,0.0937,0.1711
APG,33,0.4066,0.4222,0.4654,0.0156,0.0432,0.0928
INTC,74,0.4062,0.4151,0.5299,0.0089,0.1148,0.2166
WAL,74,0.4062,0.4713,0.5960,0.0651,0.1247,0.2092
TMO,74,0.4058,0.4377,0.5484,0.0319,0.1107,0.2019
PIPR,74,0.4054,0.4361,0.5004,0.0308,0.0643,0.1284
RHI,74,0.4052,0.4456,0.4983,0.0404,0.0526,0.1056
PCAR,74,0.4046,0.4331,0.5171,0.0285,0.0840,0.1625
OXY,74,0.4044,0.4389,0.5114,0.0346,0.0725,0.1418
JXN,16,0.4043,0.4200,0.4711,0.0156,0.0512,0.1086
BOKF,74,0.4037,0.4805,0.5703,0.0768,0.0899,0.1576
LEA,74,0.4035,0.4334,0.5177,0.0299,0.0843,0.1628
ARES,74,0.4034,0.4128,0.4459,0.0094,0.0332,0.0744
CNS,74,0.4032,0.4313,0.4679,0.0281,0.0366,0.0782
QCOM,74,0.4031,0.4279,0.5697,0.0248,0.1419,0.2490
ZBRA,74,0.4030,0.4221,0.4715,0.0191,0.0494,0.1047
NUE,74,0.4026,0.4465,0.5048,0.0439,0.0583,0.1154
OTIS,34,0.4026,0.4232,0.4701,0.0206,0.0469,0.0998
PB,74,0.4025,0.4771,0.5606,0.0746,0.0836,0.1490
HP,74,0.4022,0.4464,0.5210,0.0442,0.0746,0.1432
PWR,74,0.4021,0.4359,0.5087,0.0337,0.0728,0.1432
HLT,74,0.4020,0.4288,0.5003,0.0268,0.0714,0.1428
NKE,74,0.4015,0.4154,0.4509,0.0139,0.0356,0.0789
TYG,74,0.4013,0.4331,0.4981,0.0318,0.0650,0.1305
IBOC,74,0.4012,0.4761,0.5511,0.0749,0.0751,0.1362
NEM,74,0.4005,0.4088,0.4550,0.0083,0.0463,0.1017
MGY,67,0.4004,0.4364,0.5046,0.0360,0.0682,0.1351
FIS,74,0.3996,0.4186,0.4562,0.0191,0.0375,0.0823
RPM,74,0.3994,0.4216,0.4681,0.0222,0.0465,0.0993
MTB,74,0.3990,0.4859,0.5974,0.0869,0.1115,0.1867
HPQ,74,0.3980,0.4126,0.4657,0.0146,0.0532,0.1141
MU,74,0.3976,0.4236,0.6383,0.0260,0.2147,0.3363
FOF,74,0.3973,0.4030,0.4339,0.0057,0.0309,0.0712
ASB,74,0.3973,0.4872,0.5867,0.0900,0.0994,0.1695
BSX,74,0.3971,0.4201,0.4814,0.0230,0.0614,0.1274
SBUX,74,0.3970,0.4034,0.4465,0.0065,0.0430,0.0964
WLK,74,0.3969,0.4447,0.5296,0.0478,0.0849,0.1603
ASH,74,0.3967,0.4170,0.4509,0.0202,0.0339,0.0752
DLB,74,0.3967,0.4099,0.4461,0.0131,0.0363,0.0813
AFL,74,0.3958,0.4702,0.5271,0.0744,0.0569,0.1079
HUN,74,0.3958,0.4299,0.5119,0.0341,0.0820,0.1602
WCC,74,0.3955,0.4279,0.5144,0.0324,0.0865,0.1682
RGLD,74,0.3953,0.4010,0.4423,0.0057,0.0413,0.0934
STAG,74,0.3949,0.4104,0.5846,0.0155,0.1742,0.2980
PCOR,20,0.3949,0.4613,0.5481,0.0664,0.0868,0.1584
GD,74,0.3945,0.4547,0.6107,0.0602,0.1560,0.2555
DAN,74,0.3942,0.4271,0.5325,0.0329,0.1054,0.1979
HOMB,74,0.3941,0.4704,0.5542,0.0762,0.0838,0.1513
MSI,74,0.3935,0.4065,0.4474,0.0130,0.0410,0.0916
ENOV,74,0.3933,0.4246,0.4991,0.0313,0.0745,0.1493
PTC,74,0.3932,0.4296,0.4745,0.0364,0.0449,0.0947
TNL,74,0.3931,0.4370,0.5172,0.0439,0.0802,0.1550
SNX,74,0.3931,0.4117,0.4618,0.0186,0.0501,0.1086
XYZ,74,0.3929,0.4723,0.5288,0.0795,0.0565,0.1068
CRL,74,0.3927,0.4165,0.4996,0.0238,0.0831,0.1663
SPXC,74,0.3926,0.4256,0.4755,0.0329,0.0500,0.1051
TTEK,74,0.3926,0.4066,0.4415,0.0140,0.0349,0.0791
RS,74,0.3925,0.4327,0.4998,0.0402,0.0671,0.1342
GNTX,74,0.3922,0.4137,0.4633,0.0215,0.0496,0.1070
PNFP,74,0.3921,0.4662,0.5584,0.0741,0.0922,0.1651
WMB,74,0.3920,0.4316,0.4952,0.0396,0.0636,0.1284
EXP,74,0.3918,0.4145,0.4821,0.0227,0.0676,0.1402
UNM,74,0.3916,0.4656,0.5343,0.0740,0.0687,0.1286
LOW,74,0.3909,0.4005,0.4505,0.0096,0.0500,0.1110
ABCB,74,0.3906,0.4664,0.5528,0.0758,0.0864,0.1563
COST,74,0.3904,0.4084,0.5109,0.0180,0.1025,0.2006
UCB,74,0.3896,0.4657,0.5498,0.0761,0.0841,0.1529
IT,74,0.3895,0.4069,0.4438,0.0174,0.0369,0.0831
NOVT,74,0.3893,0.4099,0.4716,0.0207,0.0617,0.1308
SHW,74,0.3888,0.3990,0.4541,0.0102,0.0551,0.1213
VAC,74,0.3887,0.4200,0.4958,0.0312,0.0759,0.1530
PSX,74,0.3886,0.4449,0.5125,0.0563,0.0676,0.1319
DE,74,0.3882,0.4203,0.5145,0.0321,0.0942,0.1831
WHD,59,0.3882,0.4412,0.5235,0.0530,0.0822,0.1571
AIG,74,0.3882,0.4515,0.5221,0.0633,0.0706,0.1352
GBCI,74,0.3880,0.4599,0.5306,0.0719,0.0707,0.1333
BRKR,74,0.3878,0.4014,0.4603,0.0136,0.0589,0.1280
EL,74,0.3877,0.3949,0.4438,0.0072,0.0489,0.1102
IOSP,74,0.3873,0.4311,0.4832,0.0438,0.0521,0.1079
H,74,0.3873,0.4287,0.5093,0.0414,0.0806,0.1582
SMTC,74,0.3868,0.4159,0.5533,0.0291,0.1374,0.2483
FFIV,74,0.3868,0.3989,0.4477,0.0122,0.0488,0.1090
ODFL,74,0.3864,0.3977,0.4691,0.0113,0.0714,0.1523
EXPD,74,0.3858,0.3980,0.4581,0.0122,0.0602,0.1313
ARE,74,0.3857,0.4018,0.6056,0.0161,0.2038,0.3365
VNT,28,0.3856,0.4029,0.4390,0.0173,0.0361,0.0823
BWA,74,0.3850,0.4187,0.5045,0.0337,0.0858,0.1700
MPC,74,0.3846,0.4329,0.4954,0.0483,0.0625,0.1261
HRI,74,0.3846,0.4194,0.5008,0.0348,0.0814,0.1625
LAMR,74,0.3839,0.4046,0.4873,0.0208,0.0826,0.1696
CHH,74,0.3837,0.4074,0.4782,0.0237,0.0709,0.1482
GFS,15,0.3835,0.3982,0.5432,0.0147,0.1450,0.2669
FULT,74,0.3835,0.4766,0.5622,0.0931,0.0856,0.1523
MMM,74,0.3835,0.4364,0.5082,0.0529,0.0718,0.1414
AEF,74,0.3830,0.3922,0.5384,0.0092,0.1462,0.2716
HEI,74,0.3830,0.4085,0.5440,0.0255,0.1355,0.2491
MGM,74,0.3828,0.4134,0.4999,0.0305,0.0866,0.1731
HPE,74,0.3827,0.4158,0.4752,0.0331,0.0594,0.1249
BOH,74,0.3827,0.4658,0.5488,0.0831,0.0831,0.1514
TYL,74,0.3821,0.4278,0.4655,0.0457,0.0378,0.0812
CNNE,62,0.3821,0.3993,0.4565,0.0173,0.0572,0.1253
TEX,74,0.3819,0.4332,0.5231,0.0513,0.0899,0.1718
LKQ,74,0.3815,0.4112,0.4683,0.0297,0.0571,0.1219
BKNG,74,0.3813,0.4042,0.4473,0.0229,0.0430,0.0962
WDAY,74,0.3813,0.4447,0.4872,0.0634,0.0425,0.0872
AA,74,0.3807,0.4148,0.4962,0.0341,0.0814,0.1640
MAN,74,0.3806,0.4208,0.4673,0.0402,0.0465,0.0995
JLL,74,0.3803,0.4104,0.4696,0.0300,0.0593,0.1263
FELE,74,0.3802,0.4175,0.4811,0.0373,0.0636,0.1321
AB,74,0.3799,0.3938,0.4349,0.0139,0.0412,0.0947
HL,74,0.3798,0.3883,0.4401,0.0084,0.0519,0.1178
STE,74,0.3792,0.3924,0.4402,0.0132,0.0478,0.1085
VLY,74,0.3791,0.4623,0.5561,0.0832,0.0938,0.1687
UBSI,74,0.3791,0.4630,0.5363,0.0838,0.0733,0.1367
GM,74,0.3788,0.4136,0.4941,0.0347,0.0805,0.1629
AWI,74,0.3787,0.4025,0.4499,0.0238,0.0474,0.1054
WOR,74,0.3783,0.4218,0.4818,0.0435,0.0600,0.1246
KKRS,21,0.3782,0.3868,0.4133,0.0086,0.0265,0.0640
CRS,74,0.3782,0.4229,0.5086,0.0447,0.0857,0.1684
HXL,74,0.3781,0.4166,0.5606,0.0385,0.1440,0.2568
KALU,74,0.3780,0.4121,0.4914,0.0340,0.0793,0.1614
DIS,74,0.3779,0.4047,0.4644,0.0268,0.0596,0.1284
GATX,74,0.3779,0.4227,0.4905,0.0448,0.0679,0.1384
HWM,74,0.3779,0.4188,0.5345,0.0409,0.1157,0.2164
VICI,60,0.3766,0.3977,0.5150,0.0211,0.1173,0.2278
NOV,74,0.3761,0.4268,0.5068,0.0507,0.0800,0.1578
FDS,74,0.3760,0.3841,0.4268,0.0081,0.0427,0.1001
COO,74,0.3754,0.3861,0.4432,0.0107,0.0571,0.1288
CRGY,13,0.3752,0.3967,0.4582,0.0215,0.0615,0.1342
NTAP,74,0.3751,0.3951,0.4511,0.0200,0.0560,0.1241
ORCL,74,0.3751,0.3877,0.4222,0.0126,0.0345,0.0818
HGV,72,0.3748,0.4065,0.4799,0.0317,0.0734,0.1529
BA,74,0.3748,0.4011,0.6056,0.0263,0.2045,0.3377
RNP,74,0.3747,0.3869,0.4858,0.0122,0.0989,0.2036
IBKR,74,0.3746,0.3904,0.4553,0.0158,0.0649,0.1425
EME,74,0.3744,0.4160,0.4716,0.0416,0.0556,0.1179
META,74,0.3743,0.4340,0.4818,0.0597,0.0477,0.0991
AIT,74,0.3740,0.4169,0.4804,0.0430,0.0635,0.1321
UMBF,74,0.3733,0.4457,0.5320,0.0724,0.0863,0.1622
WTI,74,0.3733,0.4010,0.4740,0.0277,0.0730,0.1540
BRZE,14,0.3731,0.4050,0.4690,0.0319,0.0640,0.1365
AX,74,0.3728,0.4238,0.4935,0.0510,0.0697,0.1412
PCTY,74,0.3727,0.4345,0.4946,0.0618,0.0601,0.1215
BPOP,74,0.3725,0.4425,0.5299,0.0700,0.0874,0.1650
TTC,74,0.3724,0.3897,0.4470,0.0174,0.0572,0.1281
ESE,74,0.3724,0.4024,0.4531,0.0300,0.0507,0.1120
KBR,74,0.3723,0.3963,0.4649,0.0239,0.0686,0.1475
ACLS,74,0.3720,0.4043,0.5691,0.0323,0.1648,0.2895
OWL,25,0.3718,0.3948,0.4571,0.0230,0.0623,0.1363
ACIW,74,0.3718,0.3840,0.4160,0.0123,0.0320,0.0768
MKL,74,0.3716,0.4164,0.4571,0.0447,0.0407,0.0890
PTEN,74,0.3711,0.4163,0.5016,0.0452,0.0853,0.1700
EPAM,74,0.3710,0.4077,0.4623,0.0367,0.0545,0.1180
GPC,74,0.3710,0.4170,0.4733,0.0460,0.0563,0.1190
OC,74,0.3707,0.3888,0.4737,0.0181,0.0849,0.1793
REXR,74,0.3704,0.3804,0.5778,0.0099,0.1974,0.3417
VLO,74,0.3701,0.4226,0.4903,0.0525,0.0677,0.1381
VYX,74,0.3701,0.3975,0.4644,0.0274,0.0669,0.1441
WAFD,74,0.3700,0.4479,0.5082,0.0779,0.0603,0.1187
FMC,74,0.3700,0.3862,0.4963,0.0163,0.1101,0.2218
GPOR,20,0.3698,0.3889,0.4485,0.0191,0.0596,0.1329
TRNO,74,0.3697,0.3784,0.5600,0.0087,0.1816,0.3243
KEX,74,0.3693,0.4188,0.4912,0.0495,0.0724,0.1473
FFIN,74,0.3693,0.4370,0.5034,0.0677,0.0664,0.1318
SBCF,74,0.3693,0.4435,0.5311,0.0742,0.0876,0.1649
BYD,74,0.3692,0.4012,0.4806,0.0319,0.0794,0.1653
MNST,74,0.3688,0.3773,0.4379,0.0085,0.0606,0.1385
CHRD,74,0.3686,0.3837,0.4341,0.0151,0.0504,0.1161
CDE,74,0.3686,0.3760,0.4326,0.0074,0.0566,0.1308
MWA,74,0.3685,0.4052,0.4508,0.0367,0.0455,0.1010
RMBS,74,0.3684,0.3899,0.5257,0.0215,0.1358,0.2583
SNA,74,0.3683,0.4129,0.4723,0.0446,0.0595,0.1259
BDC,74,0.3680,0.3976,0.4630,0.0296,0.0654,0.1413
LII,74,0.3677,0.3835,0.4261,0.0158,0.0426,0.1000
MAIN,74,0.3673,0.3809,0.4280,0.0136,0.0470,0.1099
RGA,74,0.3671,0.4206,0.4702,0.0535,0.0496,0.1054
GDDY,74,0.3669,0.4096,0.4551,0.0428,0.0454,0.0999
CMC,74,0.3669,0.4128,0.4821,0.0459,0.0694,0.1439
AMD,74,0.3665,0.4218,0.5477,0.0554,0.1258,0.2298
SHO,74,0.3664,0.4043,0.4900,0.0378,0.0858,0.1750
MDT,74,0.3664,0.3960,0.4595,0.0296,0.0635,0.1381
BUSE,74,0.3664,0.4500,0.5268,0.0836,0.0768,0.1459
HST,74,0.3663,0.4096,0.4925,0.0432,0.0829,0.1683
VMI,74,0.3663,0.3994,0.4570,0.0331,0.0576,0.1260
ET,74,0.3663,0.3908,0.4472,0.0246,0.0563,0.1260
VNOM,74,0.3663,0.3964,0.4488,0.0301,0.0524,0.1168
PEGA,74,0.3660,0.4110,0.4619,0.0450,0.0509,0.1102
TOWN,74,0.3658,0.4489,0.5194,0.0831,0.0705,0.1357
KFY,74,0.3655,0.3991,0.4395,0.0336,0.0404,0.0919
IP,74,0.3654,0.4245,0.4662,0.0591,0.0417,0.0895
SXT,74,0.3654,0.3931,0.4266,0.0278,0.0335,0.0785
STEP,28,0.3653,0.3858,0.4236,0.0204,0.0378,0.0893
ONB,74,0.3653,0.4489,0.5318,0.0836,0.0829,0.1560
FCF,74,0.3648,0.4524,0.5357,0.0876,0.0833,0.1555
BANR,74,0.3643,0.4398,0.5103,0.0755,0.0705,0.1382
BC,74,0.3641,0.3845,0.4604,0.0203,0.0759,0.1649
HUBS,74,0.3641,0.4531,0.5126,0.0891,0.0595,0.1161
